shade,height,total_net_gains,avg_gains,avg_losses,hours,species,year,site_orig,site_clim,sex,year_period,filepath
0,0.01,17.62594292364825,0.010129442211957955,0.002143061186290421,2207,MB,1950,A1,A1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/F/eb_results_MB_1950_A1_A1.rds
0,0.15,14.247992535835168,0.008182015355448826,0.0017261963541642,2207,MB,1950,A1,A1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/F/eb_results_MB_1950_A1_A1.rds
0.3,0.03,14.664822370822844,0.008398044966059786,0.0017533587989447688,2207,MB,1950,A1,A1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/F/eb_results_MB_1950_A1_A1.rds
0.8,0.01,10.647936263250333,0.006303489764087055,0.0014788697988626172,2207,MB,1950,A1,A1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/F/eb_results_MB_1950_A1_A1.rds
0.8,0.15,7.591940114083069,0.004788445076957045,0.0013485084597920837,2207,MB,1950,A1,A1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/F/eb_results_MB_1950_A1_A1.rds
NA,NA,28.93394321042317,0.01584895163895176,0.0027388731566576193,2207,MB,1950,A1,A1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/F/eb_results_MB_1950_A1_A1.rds
0,0.01,14.941686142366375,0.008551087650954822,0.0017809534677348964,2207,MB,1950,A1,B1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/F/eb_results_MB_1950_A1_B1.rds
0,0.15,11.069622548152266,0.006520595052052404,0.0015049074452774768,2207,MB,1950,A1,B1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/F/eb_results_MB_1950_A1_B1.rds
0.3,0.03,11.316106214574349,0.0066373003492856564,0.0015099300662886706,2207,MB,1950,A1,B1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/F/eb_results_MB_1950_A1_B1.rds
0.8,0.01,7.539658008904432,0.0047169635776615005,0.0013007161789734937,2207,MB,1950,A1,B1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/F/eb_results_MB_1950_A1_B1.rds
0.8,0.15,5.291748827601211,0.0036247357465090547,0.0012270244517191993,2207,MB,1950,A1,B1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/F/eb_results_MB_1950_A1_B1.rds
NA,NA,20.174981705047617,0.011251024492883933,0.0021096644090381612,2207,MB,1950,A1,B1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/F/eb_results_MB_1950_A1_B1.rds
0,0.01,16.46005456530177,0.009439335268542744,0.001981222642669717,2207,MB,1950,A1,C1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/F/eb_results_MB_1950_A1_C1.rds
0,0.15,11.838889943048764,0.0068566716026215455,0.001492426046188032,2207,MB,1950,A1,C1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/F/eb_results_MB_1950_A1_C1.rds
0.3,0.03,12.72709623241904,0.007314065452876332,0.001547370286397383,2207,MB,1950,A1,C1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/F/eb_results_MB_1950_A1_C1.rds
0.8,0.01,8.345063899887958,0.005049567791385669,0.0012683879545537897,2207,MB,1950,A1,C1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/F/eb_results_MB_1950_A1_C1.rds
0.8,0.15,4.31189422046081,0.0030539754616992045,0.001100239974403867,2207,MB,1950,A1,C1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/F/eb_results_MB_1950_A1_C1.rds
NA,NA,26.651785983690058,0.014575875748006428,0.002499851287793444,2207,MB,1950,A1,C1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/F/eb_results_MB_1950_A1_C1.rds
0,0.01,12.597548943554617,0.0073102015398392554,0.0016022047371411965,2207,MB,1950,A1,D1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/F/eb_results_MB_1950_A1_D1.rds
0,0.15,8.259037097034767,0.005030625296919989,0.0012884245279871543,2207,MB,1950,A1,D1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/F/eb_results_MB_1950_A1_D1.rds
0.3,0.03,8.74853107461944,0.005270870931723324,0.0013068786006769084,2207,MB,1950,A1,D1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/F/eb_results_MB_1950_A1_D1.rds
0.8,0.01,4.982440148655067,0.0033517202353940826,0.0010941578662708078,2207,MB,1950,A1,D1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/F/eb_results_MB_1950_A1_D1.rds
0.8,0.15,2.319588572637511,0.0020514428367021586,0.0010004285310213654,2207,MB,1950,A1,D1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/F/eb_results_MB_1950_A1_D1.rds
NA,NA,17.343839745041187,0.009722131212493322,0.0018635721979753397,2207,MB,1950,A1,D1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/F/eb_results_MB_1950_A1_D1.rds
