species,year,site_orig,site_clim,sex,year_period,sun_h_0.01,sun_high_veg,partial_shade_low_veg,shade_0.8_h_0.01,shade_0.8_high_veg,shade_NA_h_NA
MB,1950,A1,A1,F,historical,12.996115594372107,9.605943422654153,9.053118596717152,4.96455248706946,4.336083153158936,14.5085610206002
MB,1950,A1,B1,F,historical,10.598249562663728,7.129711350261391,6.779983148859047,3.344735999462042,2.6640617208362722,11.185043072844929
MB,1950,A1,C1,F,historical,8.720147146135574,5.091274718440514,4.458557480274466,1.1059256848035022,0.606504809464818,8.900781709255037
MB,1950,A1,D1,F,historical,7.459859266758091,4.224695685481817,3.7536046344309852,0.8408089141425741,0.37334598385863765,7.587897687546014
MS,1950,A1,A1,F,historical,14.847022052611294,9.074637621556528,8.384141852969536,3.490154018699248,2.705672890474456,15.69250933725413
MS,1950,A1,B1,F,historical,10.978712823335677,5.932582459662135,5.557716413176797,1.9054839168831912,1.1696592065964642,11.110458871125385
MS,1950,A1,Eldo,F,historical,17.839542641915656,12.226259662867708,11.246897043758473,5.574077153461369,4.949755950586461,19.012768190817145
MB,1950,A1,A1,M,historical,15.157226080030382,11.27604094155516,10.638981655727683,5.95760516515961,5.249237598225994,15.135770638341178
MB,1950,A1,B1,M,historical,12.398482123538123,8.43407387238973,8.030228179909669,4.098036643480881,3.3286526120327333,12.35879260761724
MB,1950,A1,C1,M,historical,10.222623385138402,6.0789945470282785,5.351277185140989,1.5113957272314622,0.9493504887921221,10.15149823007827
MB,1950,A1,D1,M,historical,8.781387061738698,5.089848794093624,4.546742125929684,1.209087066162774,0.6841445801100161,8.721659216696278
MS,1950,A1,A1,M,historical,8.720200434772453,5.016214395208292,4.58782363627004,1.489359210617631,0.9654367118800133,8.125059346694828
MS,1950,A1,B1,M,historical,6.274101692644781,3.0376996416685067,2.8096061952892515,0.5074425480198377,0.02030022354220192,6.003760202303174
MS,1950,A1,Eldo,M,historical,10.5955688811496,6.992479595422785,6.382311703598428,2.781878052777772,2.3564269583728863,9.623973097393048
MB,1951,A1,A1,F,historical,12.214689960407709,9.181655432712672,8.688357685485032,4.9719185745693615,4.485523940511433,14.16218969075447
MB,1951,A1,B1,F,historical,10.09343280053916,7.028811036482414,6.700858741815802,3.5709867046275336,3.0396092248081197,10.988602479407325
MB,1951,A1,C1,F,historical,8.60832992025109,5.457628909625001,4.9277879645278855,1.8027009288096862,1.3507171882990001,9.294492662139795
MB,1951,A1,D1,F,historical,7.408598096648955,4.722959506983601,4.183817033139322,1.381336926571373,1.0538341153711994,8.072123097478721
MS,1951,A1,A1,F,historical,13.989855235942292,8.843564641683397,8.20396670870953,3.6677728972632573,3.017147589740714,14.666618933163608
MS,1951,A1,B1,F,historical,10.571000542915082,6.081813079937167,5.705070403264323,2.2614866132077776,1.643969609231123,10.855356178181768
MS,1951,A1,Eldo,F,historical,16.908359635990216,11.861994593294908,10.829773955796437,5.503190041695467,5.02084038291331,17.899241213324835
MB,1951,A1,A1,M,historical,14.26946886193287,10.794805764828817,10.226681527908381,5.9694115917365425,5.420985475576202,14.276117844216982
MB,1951,A1,B1,M,historical,11.827532772232765,8.322370493848716,7.944276586100709,4.3599362406678726,3.758905374866955,11.815961014290822
MB,1951,A1,C1,M,historical,10.10468508227029,6.503311351021751,5.893276984877889,2.3113822142829057,1.8030277307261693,10.035843007497077
MB,1951,A1,D1,M,historical,8.733058137752815,5.665242247770082,5.043913899944518,1.831681048349121,1.4654930431228521,8.673985806384838
MS,1951,A1,A1,M,historical,8.163388713748873,4.866954915522791,4.468372620599571,1.5985824250488665,1.1648339026198262,7.5113535958822775
MS,1951,A1,B1,M,historical,6.004909044521728,3.130743694102727,2.8987459405804006,0.7285160875365981,0.3206981068434786,5.6595405138457275
MS,1951,A1,Eldo,M,historical,9.990856501902934,6.758352928355492,6.110917165361196,2.732401298957648,2.4032449405381637,8.93196932256481
