species,year,site_orig,site_clim,sex,year_period,sun_h_0.01,sun_high_veg,partial_shade_low_veg,shade_0.8_h_0.01,shade_0.8_high_veg,shade_NA_h_NA
MB,1950,A1,A1,F,historical,17.62594292,14.24799254,14.66482237,10.64793626,7.591940114,28.93394321
MB,1950,A1,B1,F,historical,14.94168614,11.06962255,11.31610621,7.539658009,5.291748828,20.17498171
MB,1950,A1,C1,F,historical,16.46005457,11.83888994,12.72709623,8.3450639,4.31189422,26.65178598
MB,1950,A1,D1,F,historical,12.59754894,8.259037097,8.748531075,4.982440149,2.319588573,17.34383975
MS,1950,A1,A1,F,historical,25.37199881,17.01679254,17.96593413,10.93775572,6.350465476,25.75198982
MS,1950,A1,B1,F,historical,19.13967566,11.54952391,12.0871781,6.648043439,3.729108796,19.81429119
MS,1950,A1,Eldo,F,historical,25.82553295,18.68856731,19.35157357,12.43175034,8.036357416,26.9470658
MB,1950,A1,A1,M,historical,20.55195302,16.61146518,17.09069774,12.4687744,8.975139539,20.61342191
MB,1950,A1,B1,M,historical,17.41176971,12.95317414,13.23336952,8.902209151,6.338796944,17.31887646
MB,1950,A1,C1,M,historical,19.18671905,13.81952125,14.8398512,9.803691732,5.194071427,19.19196724
MB,1950,A1,D1,M,historical,14.70918777,9.712193164,10.27108496,5.950624481,2.912172283,14.66031831
MS,1950,A1,A1,M,historical,15.30804905,10.06395221,10.67307777,6.213896727,3.270750419,12.24399074
MS,1950,A1,B1,M,historical,11.43104695,6.600470974,6.952473003,3.499910513,1.621009698,9.816978371
MS,1950,A1,Eldo,M,historical,15.53438998,11.09390983,11.5210719,7.140062367,4.322134239,12.91614171
MB,1951,A1,A1,F,historical,17.14358844,13.59310624,14.08916863,10.29000357,7.423884687,27.31298322
MB,1951,A1,B1,F,historical,14.11478531,10.43715414,10.65611754,7.166950021,5.275441326,18.79817386
MB,1951,A1,C1,F,historical,15.6055692,11.13280431,11.89406924,7.820474925,4.388655404,24.44176112
MB,1951,A1,D1,F,historical,11.29811619,7.873929428,8.173582495,4.880228268,2.767033236,16.14768934
MS,1951,A1,A1,F,historical,24.38809099,16.08484434,17.07233373,10.45179119,6.288291191,24.57430022
MS,1951,A1,B1,F,historical,17.66341018,10.80211352,11.18579957,6.246782679,3.8561478,18.23099744
MS,1951,A1,Eldo,F,historical,24.3995771,18.35404052,19.14713465,12.73367309,8.250273564,25.97905605
MB,1951,A1,A1,M,historical,19.98952286,15.86349466,16.43260767,12.06267113,8.785437713,19.87326833
MB,1951,A1,B1,M,historical,16.46173554,12.23281561,12.48138389,8.480085274,6.322297849,16.35484193
MB,1951,A1,C1,M,historical,18.19648062,13.01609893,13.8891709,9.209032665,5.286636725,18.20933126
MB,1951,A1,D1,M,historical,13.23441158,9.280529346,9.622676855,5.839679287,3.426608492,13.33255323
MS,1951,A1,A1,M,historical,14.69642858,9.465387398,10.09902776,5.89582987,3.228913632,11.6756625
MS,1951,A1,B1,M,historical,10.48993364,6.118644059,6.370001743,3.236265398,1.700445766,9.050435004
MS,1951,A1,Eldo,M,historical,14.57995699,10.86830636,11.37180849,7.326432473,4.457932113,12.21401529
MB,1952,A1,A1,F,historical,17.84018597,15.98412638,16.00276198,12.3828712,9.887211933,30.98433643
MB,1952,A1,B1,F,historical,15.32945624,12.82829762,12.71026881,9.195585078,7.36740233,22.6160326
MB,1952,A1,C1,F,historical,16.14660241,12.81833504,13.46760589,9.45407383,5.667261661,28.05975485
MB,1952,A1,D1,F,historical,12.80642391,9.474705464,9.796100387,6.230532261,3.577599713,19.42872529
MS,1952,A1,A1,F,historical,26.26284071,20.02161346,20.14917941,13.71042147,9.290452874,27.70430591
MS,1952,A1,B1,F,historical,19.9720636,14.50176324,14.34867626,9.166168112,6.136263654,21.51026448
MS,1952,A1,Eldo,F,historical,26.80971605,23.23291704,23.49177053,16.61901391,12.00811414,29.68185649
MB,1952,A1,A1,M,historical,20.87259166,18.63673264,18.6659793,14.48328974,11.61865671,21.97392337
MB,1952,A1,B1,M,historical,17.91329779,14.99384201,14.86230863,10.82083422,8.729705078,18.55192762
MB,1952,A1,C1,M,historical,18.88656008,14.96753038,15.71754307,11.09482014,6.759372387,19.85014885
MB,1952,A1,D1,M,historical,14.99345654,11.12433214,11.49406967,7.396957215,4.366429615,15.37647069
MS,1952,A1,A1,M,historical,15.71815722,11.90592107,11.972026,7.9237438,5.101300303,13.18952727
MS,1952,A1,B1,M,historical,11.83680867,8.430422008,8.325391354,5.05640092,3.109313179,10.62092495
MS,1952,A1,Eldo,M,historical,15.92286966,13.90386334,14.05593237,9.747196418,6.81165882,14.2067006
MB,1953,A1,A1,F,historical,18.44715141,15.39829812,15.58653011,11.50777041,9.025570013,29.34409135
MB,1953,A1,B1,F,historical,15.69689687,12.25973245,12.25526239,8.352022063,6.625864217,21.16467936
MB,1953,A1,C1,F,historical,16.37660348,12.23426044,12.89038391,8.625311071,5.18194886,25.96431662
MB,1953,A1,D1,F,historical,12.24606469,8.706484016,8.906172572,5.264713384,3.144167964,16.51311649
MS,1953,A1,A1,F,historical,26.36819351,18.52922412,19.08740667,11.74639321,7.883709786,26.71847776
MS,1953,A1,B1,F,historical,20.03600345,13.03801701,13.12551862,7.325490601,5.036812606,20.8410523
MS,1953,A1,Eldo,F,historical,26.14265943,20.60111177,20.83778308,13.68455991,9.964091306,28.10157484
MB,1953,A1,A1,M,historical,21.49615182,17.94384811,18.15919692,13.46505925,10.62899774,21.45500755
MB,1953,A1,B1,M,historical,18.28463569,14.3300682,14.32152935,9.844581096,7.878575465,18.17867931
MB,1953,A1,C1,M,historical,19.09859911,14.28884707,15.04230132,10.1384671,6.203262254,19.13494982
MB,1953,A1,D1,M,historical,14.32205647,10.24064357,10.46771313,6.288063576,3.869269163,14.47473764
MS,1953,A1,A1,M,historical,15.92902554,10.98950706,11.35269139,6.6919707,4.207401614,12.64747174
MS,1953,A1,B1,M,historical,11.97864766,7.511288636,7.57729945,3.891836559,2.412190934,10.28120422
MS,1953,A1,Eldo,M,historical,15.68986066,12.27298044,12.42720819,7.902731629,5.511446315,13.45482971
MB,1954,A1,A1,F,historical,18.58319454,16.34616512,16.22367678,12.21365344,10.24304183,31.11849246
MB,1954,A1,B1,F,historical,15.7837609,13.1720067,12.89430294,9.156910935,7.805259604,22.92373472
MB,1954,A1,C1,F,historical,16.5593031,12.93074919,13.41751496,9.218364329,5.926202935,26.52091823
MB,1954,A1,D1,F,historical,12.63604113,9.464201496,9.541549341,5.952609955,3.881299837,18.06970328
MS,1954,A1,A1,F,historical,26.83949026,20.36747555,20.48766767,13.0182829,9.481084985,27.15308519
MS,1954,A1,B1,F,historical,20.96970353,14.83628462,14.6022878,8.760213203,6.536859681,21.41908086
MS,1954,A1,Eldo,F,historical,28.76600201,22.7215272,22.54671149,14.85790325,11.59602618,29.45787567
MB,1954,A1,A1,M,historical,21.67182316,19.04103835,18.89940299,14.2788126,12.02638624,21.87673603
MB,1954,A1,B1,M,historical,18.40591411,15.3851621,15.06319935,10.77146208,9.231990076,18.44008983
MB,1954,A1,C1,M,historical,19.32370644,15.09388766,15.65316719,10.82078312,7.057965152,19.52573529
MB,1954,A1,D1,M,historical,14.78392094,11.11544692,11.20178402,7.07847587,4.715815392,15.04293525
MS,1954,A1,A1,M,historical,16.19064619,12.14545581,12.23230988,7.496297586,5.214747054,12.86682849
MS,1954,A1,B1,M,historical,12.54286242,8.645016931,8.508969843,4.801012479,3.357336011,10.44009234
MS,1954,A1,Eldo,M,historical,17.38894879,13.62051627,13.51777692,8.645514658,6.540653495,13.96461162
MB,1955,A1,A1,F,historical,18.36761981,15.00539084,15.18099103,11.06218437,8.676076839,28.77113595
MB,1955,A1,B1,F,historical,15.411274,11.91940087,11.92746782,8.165397035,6.444825572,20.37940179
MB,1955,A1,C1,F,historical,15.77103915,11.25414108,11.86866183,7.676034078,4.540197409,23.60321672
MB,1955,A1,D1,F,historical,12.86913791,9.006027603,9.320639697,5.535072023,3.114413909,17.99361907
MS,1955,A1,A1,F,historical,25.87174065,17.57873038,18.08996166,11.0520514,7.426618957,26.25016356
MS,1955,A1,B1,F,historical,19.57640765,12.57700756,12.70200269,7.265779875,4.904310822,20.40294983
MS,1955,A1,Eldo,F,historical,26.13094275,19.98164192,20.18819914,13.11440148,9.550903001,27.83605246
MB,1955,A1,A1,M,historical,21.38693819,17.48591481,17.68632724,12.95150372,10.22578801,21.26354066
MB,1955,A1,B1,M,historical,17.95507861,13.93756135,13.94367897,9.629403363,7.668260189,17.92367596
MB,1955,A1,C1,M,historical,18.37638687,13.15779955,13.86205408,9.047818999,5.465878199,18.22185933
MB,1955,A1,D1,M,historical,15.03483452,10.57948652,10.93850768,6.594215422,3.832239191,15.09317843
MS,1955,A1,A1,M,historical,15.6449758,10.39303205,10.72667905,6.255757703,3.924077257,12.51295111
MS,1955,A1,B1,M,historical,11.69033279,7.224560625,7.31423067,3.862141004,2.337768886,10.14398648
MS,1955,A1,Eldo,M,historical,15.72109411,11.89372662,12.02993349,7.547855033,5.257154184,13.31362756
MB,1956,A1,A1,F,historical,18.42834889,15.35790506,15.51789538,11.29915024,8.751722602,28.97626042
