species,year,site_orig,site_clim,sex,year_period,sun_h_0.01,sun_high_veg,partial_shade_low_veg,shade_0.8_h_0.01,shade_0.8_high_veg
MB,1950,A1,A1,F,historical,19.796036349423186,16.00087659015044,16.46398779265568,11.998372092810277,8.617798494411424
MB,1950,A1,B1,F,historical,16.77363885074512,12.46657019428177,12.738056362616547,8.550202462913855,6.068298518006154
MB,1950,A1,C1,F,historical,18.482302087062465,13.307837359519645,14.294033979123114,9.426864223913183,4.966166384044277
MB,1950,A1,D1,F,historical,14.163658900129278,9.336779252619166,9.877742547245045,5.700500027537539,2.7590819346732807
MS,1950,A1,A1,F,historical,25.223869278423297,16.914454887792797,17.85859184359264,10.868226061140833,6.305135685377097
MS,1950,A1,B1,F,historical,19.02621369098761,11.476679660799977,12.011601269013354,6.601706617580803,3.698080052029214
MS,1950,A1,Eldo,F,historical,25.674059400471023,18.57678286378776,19.23631778065779,12.353862907398975,7.981688410483049
MB,1950,A1,A1,M,historical,23.00607786665971,18.5937744453405,19.125345885290503,13.995961241629134,10.135266799022821
MB,1950,A1,B1,M,historical,19.483496491740308,14.532960464958812,14.841430787165153,10.045018130227795,7.2169848910395515
MB,1950,A1,C1,M,historical,21.473647264131227,15.480730995112776,16.611876686770106,11.02708286530224,5.933977623749359
MB,1950,A1,D1,M,historical,16.480277125617384,10.93099497771703,11.548092618728058,6.7626672115385915,3.40918847936312
MS,1950,A1,A1,M,historical,15.210233153020791,9.996374537852112,10.602195337465375,6.167983492041827,3.2408173325154035
MS,1950,A1,B1,M,historical,11.35612344796728,6.552368981315114,6.902566576758997,3.4693124432174147,1.6005201683547383
MS,1950,A1,Eldo,M,historical,15.434365893161669,11.020094059265976,11.44496385770246,7.088630155840778,4.286034092862866
MB,1951,A1,A1,F,historical,19.254293248133436,15.276953809871985,15.8271946426596,11.604713395781781,8.433688882562748
MB,1951,A1,B1,F,historical,15.855415417650116,11.768917542220468,12.009837582724158,8.14084487652702,6.051848919996916
MB,1951,A1,C1,F,historical,17.527134627817425,12.529561377875215,13.373748683322257,8.850307332957959,5.054648786559606
MB,1951,A1,D1,F,historical,12.734181599256209,8.917142928428389,9.24831226030004,5.5918110310740445,3.2562112909508896
