shade,height,total_net_gains,avg_gains,avg_losses,hours,species,year,site_orig,site_clim,sex,year_period,filepath
0,0.005,56.061830494731666,0.027543714032253107,0.0021533922502188366,2208,MB,1945,A1,A1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1945/F/eb_results_MB_1945_A1_A1.rds
0,0.15,-33.53060964629162,-0.01575454802141904,-5.685835077000074e-4,2208,MB,1945,A1,A1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1945/F/eb_results_MB_1945_A1_A1.rds
0.3,0.03,-89.67148250522483,-0.04197624452794424,-0.0013641600599982047,2208,MB,1945,A1,A1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1945/F/eb_results_MB_1945_A1_A1.rds
0.9,0.005,-136.9071321627785,-0.06435239666974774,-0.002347354929358909,2208,MB,1945,A1,A1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1945/F/eb_results_MB_1945_A1_A1.rds
0.9,0.15,-39.52179548419584,-0.018619037214571272,-7.196733177434485e-4,2208,MB,1945,A1,A1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1945/F/eb_results_MB_1945_A1_A1.rds
0,0.005,43.714673464989,0.0222705333222932,0.002472221064598909,2208,MB,1945,A1,B1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1945/F/eb_results_MB_1945_A1_B1.rds
0,0.15,-14.334614640122187,-0.00678868228871114,-0.00029655609300362857,2208,MB,1945,A1,B1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1945/F/eb_results_MB_1945_A1_B1.rds
0.3,0.03,-72.899322767834,-0.03403213729791654,-0.001016139667556944,2208,MB,1945,A1,B1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1945/F/eb_results_MB_1945_A1_B1.rds
0.9,0.005,-122.03963624496446,-0.05717823257885904,-0.0019066581925526699,2208,MB,1945,A1,B1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1945/F/eb_results_MB_1945_A1_B1.rds
0.9,0.15,-18.460880468033544,-0.008901772057193929,-5.408660481207658e-4,2208,MB,1945,A1,B1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1945/F/eb_results_MB_1945_A1_B1.rds
