species,year,site_orig,site_clim,sex,year_period,sun_ground,sun_high_veg,partial_shade_low_veg,full_shade_ground,full_shade_high_veg
MB,1945,A1,A1,F,historical,56.061830494731666,-33.53060964629162,-89.67148250522483,-136.9071321627785,-39.52179548419584
MB,1945,A1,B1,F,historical,43.714673464989,-14.334614640122187,-72.899322767834,-122.03963624496446,-18.460880468033544
MB,1945,A1,C1,F,historical,43.69926696065103,1.8784233447338319,-56.86883208845022,-117.4621163177296,-3.5240700455495446
MB,1945,A1,D1,F,historical,21.38286024283028,12.919237573155637,14.692695615486288,5.911717143622809,5.395513337270853
MS,1945,A1,A1,F,historical,66.48713083401806,-28.60293635393621,-90.3688022156207,-157.7652917999273,-37.66529629838331
MS,1945,A1,B1,F,historical,51.77203905402879,-7.8915297886016695,-67.15117332296406,-130.95095139485167,-17.051322213561672
MS,1945,A1,Eldo,F,historical,62.04646378911407,-21.78050222755021,-69.61798186556629,-121.58047541401518,-25.323161365778432
MB,1945,A1,A1,M,historical,52.52015205278501,-31.50482826384133,-84.27401286317094,-128.63244939102304,-37.12768688157849
MB,1945,A1,B1,M,historical,40.85104121605338,-13.461699328737579,-68.52333749365272,-114.68743554189206,-17.31625581236186
MB,1945,A1,C1,M,historical,40.680982531105556,1.6942398252054673,-53.43863725764911,-110.36669113893488,-3.2557025490859903
MB,1945,A1,D1,M,historical,19.979659955472634,12.152882369531328,13.85800442897282,5.627586588484675,5.082293579003758
MS,1945,A1,A1,M,historical,44.59970956154142,-19.408284023288253,-61.59233392124488,-107.55507254319876,-25.577196169152817
MS,1945,A1,B1,M,historical,34.249124198575984,-5.264339643681897,-45.76209889190404,-89.29561094044082,-11.44530085451043
MS,1945,A1,Eldo,M,historical,40.67380345214791,-15.260298779727753,-47.48311363523452,-82.86482904916475,-17.119281048946068
MB,1946,A1,A1,F,historical,61.43960161832898,5.860190889573765,-26.483633694460863,-56.96342356133643,4.083389705427528
MB,1946,A1,B1,F,historical,46.64795334994324,29.933872947440086,7.201588710299147,-14.32785638376277,25.66297294359719
MB,1946,A1,C1,F,historical,50.697930523950696,38.517490878699746,28.717985834013756,10.55350614607528,22.1077400464506
MB,1946,A1,D1,F,historical,26.264980935078697,15.849402467762049,17.28523317145258,18.5242024251136,6.6151697084826475
MS,1946,A1,A1,F,historical,74.30562474509533,11.584111552084272,-20.100203848290345,-53.10212347500856,3.9543772296299915
MS,1946,A1,B1,F,historical,55.71674767363359,33.70450861635089,13.295617309550085,-7.2573385775267605,24.065964657243274
MS,1946,A1,Eldo,F,historical,71.4977587829458,26.450596926074738,1.7040020228363897,-26.011745698991817,15.956484798034701
MB,1946,A1,A1,M,historical,57.55865492866522,5.5204784479782845,-24.88508355546603,-53.53085140027169,3.8646091625986174
MB,1946,A1,B1,M,historical,43.5954681244873,28.1477322027887,6.775588349058988,-13.459165078481783,24.158063218540335
MB,1946,A1,C1,M,historical,47.478432063093386,36.23612496587571,27.03810254943026,9.968571595860984,20.806261101255938
MB,1946,A1,D1,M,historical,24.56362682539955,14.89006140311336,16.25635683210034,17.437728153917575,6.205888263919996
MS,1946,A1,A1,M,historical,49.878335293307586,8.013575909354552,-13.614257936658548,-36.13253781289809,2.8240964252021126
MS,1946,A1,B1,M,historical,36.889881636459705,23.084913918053388,9.159811760682732,-4.8440753127192036,16.577485634479952
MS,1946,A1,Eldo,M,historical,47.9629885951385,18.180023559338597,1.2963049784209772,-17.612427624882585,11.028439492213563
MB,1947,A1,A1,F,historical,57.54135037804074,-20.47436551929939,-48.93888559254676,-73.21226259139173,-18.92333681644909
MB,1947,A1,B1,F,historical,44.545571739958724,15.88021553929011,-2.182482091828578,-17.353248536728422,13.69565858710553
MB,1947,A1,C1,F,historical,45.68835449246216,19.08122615616378,0.16769039984133183,-18.991435274216087,13.038900653364943
MB,1947,A1,D1,F,historical,20.677633476956846,12.700670299536762,13.81153032288187,14.65172769926982,5.232616155696665
MS,1947,A1,A1,F,historical,68.68999148500774,-15.529715078723532,-44.45463645212692,-71.56378908526607,-18.171031813444543
