species,year,site_orig,site_clim,sex,year_period,sun_ground,sun_high_veg,partial_shade_low_veg,full_shade_ground,full_shade_high_veg
MB,1945,A1,A1,F,historical,57.91396928576795,-34.590002344442084,-92.49411676221689,-141.2344196893853,-40.77380677927664
MB,1945,A1,B1,F,historical,45.21222454379357,-14.791110150938898,-75.1877665687511,-125.88450707241317,-19.05946776518547
MB,1945,A1,C1,F,historical,45.27769418547535,1.9747430549446172,-58.66266995687253,-121.17270507612578,-3.664414195534047
MB,1945,A1,D1,F,historical,22.116670984377972,13.32000693254585,15.129201625396089,6.060304665476087,5.559313206150715
MS,1945,A1,A1,F,historical,80.86935314332584,-34.64474147249831,-109.27781662778898,-190.7584218064045,-45.6083856733928
MS,1945,A1,B1,F,historical,63.28634463716782,-9.617856167697425,-81.20593197306914,-158.3226714036679,-20.735038282845345
MS,1945,A1,Eldo,F,historical,76.09043673964659,-26.064927255107865,-84.16280154590879,-147.02052273324944,-30.713930294049103
MB,1945,A1,A1,M,historical,54.26443067745858,-32.502526734097586,-86.93226969768592,-132.70773531020282,-38.30678671493243
MB,1945,A1,B1,M,historical,42.261381709302356,-13.891610610565158,-70.67851270245716,-118.30839852339592,-17.8799840990736
MB,1945,A1,C1,M,historical,42.1674893102889,1.7849503121671002,-55.128010141129614,-113.86119203030879,-3.3878736920374224
MB,1945,A1,D1,M,historical,20.670736886225406,12.53031273835231,14.269090307802243,5.767521046699262,5.236554486120561
MS,1945,A1,A1,M,historical,54.53400426143875,-23.581566237699565,-74.65343933424603,-130.34456011385393,-31.063760691792673
MS,1945,A1,B1,M,historical,42.20245035829949,-6.456772539608229,-55.470203200353936,-108.20219763912358,-13.989770007885134
MS,1945,A1,Eldo,M,historical,50.37445770762311,-18.219698233303724,-57.52971992137688,-100.43714310559872,-20.842870216235756
MB,1946,A1,A1,F,historical,63.4691624685566,6.037845242217604,-27.31960363650375,-58.758504666735945,4.197802105293705
MB,1946,A1,B1,F,historical,48.24426605528998,30.867944352748395,7.4243677702791855,-14.782142929060349,26.449973153941958
MB,1946,A1,C1,F,historical,52.38158365191731,39.710542809570924,29.596489359048736,10.859400650171976,22.78835509370122
MB,1946,A1,D1,F,historical,27.15471273752142,16.351094766708663,17.823289296685196,19.092379682346184,6.829205525779827
MS,1946,A1,A1,F,historical,90.3567941787098,13.930310162590342,-24.362118252274414,-64.25283650104322,4.697084632153778
MS,1946,A1,B1,F,historical,68.0878794466893,40.68264322089303,16.01325471833324,-8.843093625289903,28.9866434673781
MS,1946,A1,Eldo,F,historical,86.96245389827004,31.885189850706617,1.9718997095777842,-31.53093675784589,19.194702871160878
MB,1946,A1,A1,M,historical,59.47002335616068,5.687787016535115,-25.672370398024512,-55.22139512024416,3.9723587029948324
MB,1946,A1,B1,M,historical,45.098818814892766,29.02740752414326,6.985393766573416,-13.886996034927563,24.899232104566376
MB,1946,A1,C1,M,historical,49.06403686587052,37.35969896109439,27.865446011936946,10.256652190837594,21.447240213780336
MB,1946,A1,D1,M,historical,25.40154468134209,15.362537417033627,16.76307900792218,17.972817343568398,6.407459605567197
MS,1946,A1,A1,M,historical,60.96542906798205,9.634175836124765,-16.558108529728152,-43.834718111065406,3.3371099257437824
MS,1946,A1,B1,M,historical,45.43504706094785,27.904951053219158,11.036977217153607,-5.9394107641906695,19.97636741867984
MS,1946,A1,Eldo,M,historical,58.644984424132765,21.933883465420713,1.481351107751576,-21.424722366579836,13.265187885412162
MB,1947,A1,A1,F,historical,59.44076491714874,-21.124332900737567,-50.48109233612434,-75.51905495926994,-19.530273625496605
MB,1947,A1,B1,F,historical,46.06228300087902,16.367766369765214,-2.2591091187574386,-17.907068366856176,14.104571471921384
MB,1947,A1,C1,F,historical,47.20782157368745,19.65439298905938,0.14802275705106438,-19.61189781491752,13.42262477630092
MB,1947,A1,D1,F,historical,21.38970668629574,13.090844585692379,14.227413684058147,15.084992037105051,5.39267899266243
MS,1947,A1,A1,F,historical,83.5331336890847,-18.844895963843,-53.797774969866765,-86.56560251262098,-22.047262967655996
MS,1947,A1,B1,F,historical,64.08772644821876,22.30881717652373,2.8876707845386274,-14.771452240581077,13.92140188681488
MS,1947,A1,Eldo,F,historical,81.5030211987195,5.687617799430721,-15.642224896290852,-34.95207987831202,0.7998211267760594
MB,1947,A1,A1,M,historical,55.69807202220629,-19.843607577030525,-47.44225794643352,-70.97364624116057,-18.334337700962774
MB,1947,A1,B1,M,historical,43.073686071115894,15.407074013477683,-2.1081197357963943,-16.815796556190385,13.298830904425552
MB,1947,A1,C1,M,historical,44.21379445011309,18.524998963202105,0.18677677594256267,-18.38931017285823,12.666517292146906
MB,1947,A1,D1,M,historical,19.986605211394366,12.322027406231566,13.407938172551214,14.23126825777177,5.077283890476135
MS,1947,A1,A1,M,historical,56.35379241337308,-12.77445404335606,-36.689514005409556,-59.09571768024105,-14.949479495978327
MS,1947,A1,B1,M,historical,42.81012470512301,15.38002165020089,2.0927238668630554,-9.9682865372855,9.693409780903544
MS,1947,A1,Eldo,M,historical,54.978496156143585,4.040471299785558,-10.549704423319538,-23.748276513407784,0.7011398869841237
MB,1948,A1,A1,F,historical,65.61496780012956,-110.46480504948943,-144.51557504991527,-153.01698994297647,-113.77185178944748
MB,1948,A1,B1,F,historical,51.63656128574141,-12.084422766504886,-46.11757878578395,-75.62523169736822,-16.96633038392374
MB,1948,A1,C1,F,historical,56.57830447934428,-27.76598435441122,-70.00237457372766,-106.76542434190773,-30.96504527518915
MB,1948,A1,D1,F,historical,23.97002411746573,-0.7085786394475255,-28.878456661402694,-61.150849606009565,-2.9307266440941615
MS,1948,A1,A1,F,historical,92.93823755606935,-140.87392166859968,-218.9857297297379,-270.10422757664264,-142.73184936049748
MS,1948,A1,B1,F,historical,72.72892308532619,-4.430038212364079,-43.81493123222653,-82.11110165861969,-16.746556862886543
MS,1948,A1,Eldo,F,historical,92.63711889315707,-135.66078853412935,-209.69629938667572,-261.47534694898735,-134.70825220334964
MB,1948,A1,A1,M,historical,61.491407908693425,-103.81768229798,-135.7411119753785,-143.5869519970415,-106.92793919615134
MB,1948,A1,B1,M,historical,48.277773097905865,-11.36086005992051,-43.36107254997462,-71.09181665835325,-15.91991090268384
MB,1948,A1,C1,M,historical,53.01376410496604,-26.065293897993065,-65.77547132443738,-100.32488440851048,-29.063042733712035
MB,1948,A1,D1,M,historical,22.41138805053434,-0.5981375157165475,-27.08304136358384,-57.42905414978563,-2.6850896921149903
MS,1948,A1,A1,M,historical,62.75090885184801,-96.29840047680477,-149.58130855195847,-184.14657045548677,-97.56162723803907
MS,1948,A1,B1,M,historical,48.56741861015155,-2.959249547014853,-29.923640361797677,-56.10171082585379,-11.287700574788353
MS,1948,A1,Eldo,M,historical,62.51515969523026,-92.7151800688095,-143.24674585119013,-178.36171901844162,-92.04936533045516
MB,1949,A1,A1,F,historical,62.16619100487415,22.862236442500596,-1.02769022313975,-23.992597624374476,16.89692658445261
MB,1949,A1,B1,F,historical,50.59314788179171,30.00803253894023,4.802952567630002,-19.15752158683386,23.175904136727326
MB,1949,A1,C1,F,historical,52.55210447340907,30.111506975666927,9.760605349468051,-14.666565950649812,18.209324403999965
MB,1949,A1,D1,F,historical,23.865514523072992,14.106706826047912,15.171009832511396,16.0927030229945,5.383341737494163
MS,1949,A1,A1,F,historical,87.8461301285499,31.089761531041336,3.8825068143052346,-23.888499827533277,18.144688500135114
MS,1949,A1,B1,F,historical,72.18651513807507,40.696917816792265,14.34790476406088,-12.832178966151963,25.06470087490023
MS,1949,A1,Eldo,F,historical,87.47285428327763,7.785433989686211,-39.592505004275374,-90.08553072164347,-3.179090458749128
MB,1949,A1,A1,M,historical,58.24666563278112,21.50720786453611,-0.9514998395733679,-22.53654435009162,15.910820586206603
MB,1949,A1,B1,M,historical,47.308361732590754,28.22256063960758,4.523418264424139,-17.99835677961509,21.824012153643473
